code,description
E006,alternatör devre dışı
S011,şanzıman hidrolik basınç düşüş
AMB03,pervane dönmüyor/devre dışı
FP100,su pompası yetersiz basınç
FS01,yangın algıla
VMS17,akü gerilimi düşüklüğü
ENG_OIL_PRES_LOW,"Motoru kapat, yağ seviyesi ve kaçak kontrolü yap."
ENG_COOL_TEMP_HIGH,Motor rölantiye alınır ve soğutma sistemi incelenir.
TR_OIL_TEMP_HIGH,Yağ sıcaklık aşımı – bildirim oluşur.
TR_HYD_PRES_LOW,Düşük hidrolik basınç – bildirim oluşur.
ELEC_BAT_LOW,Şarj sistemi kontrol edilir.
ELEC_ALT_ERR,Alternatör arızası – şarj olmuyor demektir.
COOL_LVL_LOW,Soğutma sıvısı eksikliği.
COOL_FAN_ERR,Radyatör fanı arızası (gürültülü fan).
AMPH_PROP_ERR,Pervane devre dışı demektir.
AMPH_PUMP_PRES_LOW,Su pompası basıncı düşük (<0.8 bar).
AMPH_SEAL_ERR,Amfibi sızdırmazlık sensör arızası – su olabilir.
FIRE_DET_ACT,Yangın var ve söndürme sistemi çalışıyor.
FIRE_SYS_ERR,Oto söndürme devredışı.
OBS_CAM_ERR,Termal kamera/silahlı gözetleme birimi arızası.
OBS_SENS_ERR,Gözetleme sensörü arızası.
WPN_SYS_ERR,Atış kontrol sistemi/silah sistemi arızası.
